rank,product_id,price,level,total_yellow,pulls_total,role_score_total,weapon_score_total,strength_score,value_score,matched_tier_roles,unmatched_roles_count,tier_breakdown,weapon_breakdown
34,32974204,70,53,13,0.12,293.35,150.00,443.48,6.335,7,12,散华:T2@6鸣=33.6 | 卜灵:T2@3鸣=9.75 | 西格莉卡:T0@0鸣=111.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,昭日译注:signature->西格莉卡@1鸣=60.0 | 源能机锋:standard->常驻@1鸣=20.0 | 光影双生:signature->嘉贝莉娜@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0
35,34994160,130,61,25,1.32,593.60,220.00,814.93,6.269,10,13,散华:T2@6鸣=33.6 | 维里奈:T1@1鸣=56.0 | 千咲:T0.5@0鸣=90.0 | 弗洛洛:T0.5@0鸣=99.0 | 卡提希娅:T0.5@0鸣=89.0 | 赞妮:T1@0鸣=40.0 | 椿:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0,幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 星序协响:signature->守岸人@1鸣=60.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
36,35112712,150,80,19,7.99,596.85,330.00,934.84,6.232,8,13,卜灵:T2@4鸣=10.75 | 散华:T2@4鸣=30.1 | 维里奈:T1@1鸣=56.0 | 绯雪:T0@0鸣=111.0 | 爱弥斯:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 弗洛洛:T0.5@0鸣=99.0 | 卡提希娅:T0.5@0鸣=89.0,灼霜:signature->绯雪@1鸣=60.0 | 永远的启明星:signature->爱弥斯@1鸣=60.0 | 永远的启明星:signature->爱弥斯@1鸣=60.0 | 昙切:signature->千咲@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
37,34820596,80,64,18,0.88,354.80,140.00,495.68,6.196,8,12,散华:T2@2鸣=23.8 | 珂莱塔:T1@1鸣=77.0 | 琳奈:T0@0鸣=111.0 | 坎特蕾拉:T1@0鸣=55.0 | 折枝:T2@0鸣=19.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,溢彩荧辉:signature->琳奈@1鸣=60.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
38,33682424,100,48,18,0.54,455.80,163.00,619.34,6.193,8,12,散华:T2@2鸣=23.8 | 西格莉卡:T0@0鸣=111.0 | 陆·赫斯:T0.5@0鸣=70.0 | 琳奈:T0@0鸣=111.0 | 仇远:T1@0鸣=55.0 | 赞妮:T1@0鸣=40.0 | 维里奈:T1@0鸣=40.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@5鸣=43.0 | 昭日译注:signature->西格莉卡@1鸣=60.0 | 脉冲协臂:standard->常驻@1鸣=20.0 | 脉冲协臂:standard->常驻@1鸣=20.0 | 相位涟漪:standard->常驻@1鸣=20.0
39,35272794,138,61,22,10.59,633.30,203.00,846.89,6.137,9,13,弗洛洛:T0.5@2鸣=168.3 | 卜灵:T2@1鸣=7.0 | 琳奈:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 坎特蕾拉:T1@0鸣=55.0 | 菲比:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 维里奈:T1@0鸣=40.0 | 散华:T2@0鸣=14.0,血誓盟约:standard->常驻@5鸣=43.0 | 昙切:signature->千咲@1鸣=50.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 和光回唱:signature->菲比@1鸣=30.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
40,35799490,147,80,32,8.58,703.50,184.00,896.08,6.096,11,4,卡提希娅:T0.5@2鸣=151.3 | 守岸人:T0@1鸣=151.2 | 维里奈:T1@1鸣=56.0 | 奥古斯塔:T0.5@0鸣=99.0 | 弗洛洛:T0.5@0鸣=99.0 | 夏空:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0,血誓盟约:standard->常驻@3鸣=34.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
41,35518073,100,71,28,0.81,412.70,194.00,607.51,6.075,8,14,散华:T2@6鸣=33.6 | 维里奈:T1@2鸣=68.0 | 卜灵:T2@2鸣=8.5 | 卡提希娅:T0.5@1鸣=124.6 | 今汐:T2@1鸣=14.0 | 千咲:T0.5@0鸣=90.0 | 珂莱塔:T1@0鸣=55.0 | 折枝:T2@0鸣=19.0,血誓盟约:standard->常驻@3鸣=34.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
42,34998618,160,76,27,43.99,685.10,234.00,963.09,6.019,10,14,散华:T2@6鸣=33.6 | 卡提希娅:T0.5@2鸣=151.3 | 守岸人:T0@1鸣=151.2 | 维里奈:T1@1鸣=56.0 | 千咲:T0.5@0鸣=90.0 | 仇远:T1@0鸣=55.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 珂莱塔:T1@0鸣=55.0 | 相里要:T2@0鸣=16.0 | 吟霖:T2@0鸣=7.0,血誓盟约:standard->常驻@3鸣=34.0 | 昙切:signature->千咲@1鸣=50.0 | 光影双生:signature->嘉贝莉娜@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
43,35182308,158,78,29,13.29,590.00,344.00,947.29,5.995,9,3,维里奈:T1@1鸣=56.0 | 绯雪:T0@0鸣=111.0 | 莫宁:T0.5@0鸣=75.0 | 琳奈:T0@0鸣=111.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 卡提希娅:T0.5@0鸣=89.0 | 菲比:T1@0鸣=40.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0,血誓盟约:standard->常驻@3鸣=34.0 | 灼霜:signature->绯雪@1鸣=60.0 | 相位涟漪:standard->常驻@1鸣=20.0 | 光影双生:signature->嘉贝莉娜@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 和光回唱:signature->菲比@1鸣=30.0 | 赫奕流明:signature->长离@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
44,35817834,126,71,30,2.56,522.00,229.00,753.56,5.981,10,4,陆·赫斯:T0.5@1鸣=98.0 | 奥古斯塔:T0.5@0鸣=99.0 | 弗洛洛:T0.5@0鸣=99.0 | 布兰特:T1@0鸣=46.0 | 珂莱塔:T1@0鸣=55.0 | 椿:T1@0鸣=40.0 | 相里要:T2@0鸣=16.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0,血誓盟约:standard->常驻@4鸣=39.0 | 白昼之脊:signature->陆·赫斯@1鸣=50.0 | 镭射切变:standard->常驻@1鸣=20.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
45,35774081,110,68,15,0.21,467.05,190.00,657.26,5.975,6,12,散华:T2@6鸣=33.6 | 卜灵:T2@4鸣=10.75 | 绯雪:T0@2鸣=188.7 | 维里奈:T1@1鸣=56.0 | 尤诺:T0.5@0鸣=79.0 | 弗洛洛:T0.5@0鸣=99.0,灼霜:signature->绯雪@1鸣=60.0 | 脉冲协臂:standard->常驻@1鸣=20.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
46,31805513,80,52,16,27.59,359.80,89.00,476.39,5.955,6,11,菲比:T1@3鸣=78.0 | 维里奈:T1@2鸣=68.0 | 散华:T2@2鸣=23.8 | 卜灵:T2@1鸣=7.0 | 莫宁:T0.5@0鸣=75.0 | 守岸人:T0@0鸣=108.0,血誓盟约:standard->常驻@4鸣=39.0 | 玻色星仪:standard->常驻@1鸣=20.0 | 和光回唱:signature->菲比@1鸣=30.0
47,35338519,115,73,24,0.17,513.65,169.00,682.82,5.938,6,13,弗洛洛:T0.5@5鸣=227.7 | 散华:T2@5鸣=32.2 | 维里奈:T1@3鸣=78.0 | 卜灵:T2@3鸣=9.75 | 绯雪:T0@0鸣=111.0 | 仇远:T1@0鸣=55.0,血誓盟约:standard->常驻@4鸣=39.0 | 灼霜:signature->绯雪@1鸣=60.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
48,34905083,152,80,33,142.62,548.10,208.00,898.73,5.913,10,14,散华:T2@6鸣=33.6 | 珂莱塔:T1@2鸣=93.5 | 维里奈:T1@2鸣=68.0 | 菲比:T1@1鸣=56.0 | 千咲:T0.5@0鸣=90.0 | 卡提希娅:T0.5@0鸣=89.0 | 赞妮:T1@0鸣=40.0 | 椿:T1@0鸣=40.0 | 长离:T1@0鸣=28.0 | 今汐:T2@0鸣=10.0,血誓盟约:standard->常驻@2鸣=28.0 | 万物持存的注释:signature->尤诺@1鸣=50.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
49,34709059,130,80,28,17.51,565.90,184.00,767.41,5.903,10,13,散华:T2@6鸣=33.6 | 维里奈:T1@3鸣=78.0 | 卡提希娅:T0.5@2鸣=151.3 | 弗洛洛:T0.5@0鸣=99.0 | 椿:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0 | 吟霖:T2@0鸣=7.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@3鸣=34.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 裁春:signature->椿@1鸣=30.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 赫奕流明:signature->长离@1鸣=30.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
50,35016689,80,52,16,0.88,338.70,124.00,463.57,5.795,6,12,卜灵:T2@2鸣=8.5 | 卡提希娅:T0.5@1鸣=124.6 | 维里奈:T1@1鸣=56.0 | 散华:T2@1鸣=19.6 | 莫宁:T0.5@0鸣=75.0 | 夏空:T1@0鸣=55.0,血誓盟约:standard->常驻@3鸣=34.0 | 相位涟漪:standard->常驻@1鸣=20.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 漪澜浮录:standard->常驻@1鸣=20.0
51,35889640,100,57,13,47.91,346.30,184.00,578.21,5.782,5,12,散华:T2@3鸣=27.3 | 卜灵:T2@1鸣=7.0 | 绯雪:T0@0鸣=111.0 | 琳奈:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0,血誓盟约:standard->常驻@3鸣=34.0 | 灼霜:signature->绯雪@1鸣=60.0 | 镭射切变:standard->常驻@1鸣=20.0 | 昙切:signature->千咲@1鸣=50.0 | 停驻之烟:standard->常驻@1鸣=20.0
52,34665047,100,52,19,8.32,379.60,188.00,575.92,5.759,8,12,散华:T2@6鸣=33.6 | 维里奈:T1@3鸣=78.0 | 爱弥斯:T0@0鸣=111.0 | 卡提希娅:T0.5@0鸣=89.0 | 相里要:T2@0鸣=16.0 | 折枝:T2@0鸣=19.0 | 长离:T1@0鸣=28.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@2鸣=28.0 | 永远的启明星:signature->爱弥斯@1鸣=60.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
53,35854032,157,80,32,0.56,649.00,242.00,891.56,5.679,11,4,维里奈:T1@3鸣=78.0 | 菲比:T1@1鸣=56.0 | 达妮娅:T0.5@0鸣=85.0 | 莫宁:T0.5@0鸣=75.0 | 尤诺:T0.5@0鸣=79.0 | 弗洛洛:T0.5@0鸣=99.0 | 卡提希娅:T0.5@0鸣=89.0 | 椿:T1@0鸣=40.0 | 折枝:T2@0鸣=19.0 | 今汐:T2@0鸣=10.0 | 忌炎:T2@0鸣=19.0,血誓盟约:standard->常驻@3鸣=34.0 | 浩境粼光:standard->常驻@2鸣=28.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 和光回唱:signature->菲比@1鸣=30.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
54,34756321,150,79,26,11.88,597.35,234.00,843.23,5.622,8,12,嘉贝莉娜:T0.5@6鸣=168.0 | 散华:T2@6鸣=33.6 | 卜灵:T2@3鸣=9.75 | 维里奈:T1@1鸣=56.0 | 莫宁:T0.5@0鸣=75.0 | 琳奈:T0@0鸣=111.0 | 仇远:T1@0鸣=55.0 | 卡提希娅:T0.5@0鸣=89.0,相位涟漪:standard->常驻@3鸣=34.0 | 宙算仪轨:signature->莫宁@1鸣=50.0 | 光影双生:signature->嘉贝莉娜@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
55,35327187,120,62,16,3.18,502.80,160.00,665.98,5.550,9,13,散华:T2@2鸣=23.8 | 维里奈:T1@1鸣=56.0 | 绯雪:T0@0鸣=111.0 | 莫宁:T0.5@0鸣=75.0 | 弗洛洛:T0.5@0鸣=99.0 | 卡提希娅:T0.5@0鸣=89.0 | 相里要:T2@0鸣=16.0 | 长离:T1@0鸣=28.0 | 卜灵:T2@0鸣=5.0,灼霜:signature->绯雪@1鸣=60.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
56,33398915,100,53,17,9.52,401.20,140.00,550.72,5.507,7,13,散华:T2@5鸣=32.2 | 维里奈:T1@1鸣=56.0 | 尤诺:T0.5@0鸣=79.0 | 奥古斯塔:T0.5@0鸣=99.0 | 赞妮:T1@0鸣=40.0 | 坎特蕾拉:T1@0鸣=55.0 | 菲比:T1@0鸣=40.0,焰光裁定:signature->赞妮@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
57,35745137,150,77,30,0.67,550.60,273.00,824.27,5.495,9,14,散华:T2@6鸣=33.6 | 莫宁:T0.5@0鸣=75.0 | 千咲:T0.5@0鸣=90.0 | 尤诺:T0.5@0鸣=79.0 | 弗洛洛:T0.5@0鸣=99.0 | 卡提希娅:T0.5@0鸣=89.0 | 菲比:T1@0鸣=40.0 | 维里奈:T1@0鸣=40.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@5鸣=43.0 | 宙算仪轨:signature->莫宁@1鸣=50.0 | 昙切:signature->千咲@1鸣=50.0 | 万物持存的注释:signature->尤诺@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0
58,35732068,150,65,21,0.85,592.60,230.00,823.45,5.490,8,14,卜灵:T2@6鸣=12.0 | 散华:T2@6鸣=33.6 | 维里奈:T1@2鸣=68.0 | 莫宁:T0.5@1鸣=105.0 | 达妮娅:T0.5@0鸣=85.0 | 爱弥斯:T0@0鸣=111.0 | 尤诺:T0.5@0鸣=79.0 | 奥古斯塔:T0.5@0鸣=99.0,永远的启明星:signature->爱弥斯@1鸣=60.0 | 万物持存的注释:signature->尤诺@1鸣=50.0 | 驭冕铸雷之权:signature->奥古斯塔@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
59,34189208,100,67,27,0.05,352.50,190.00,542.55,5.425,8,13,散华:T2@3鸣=27.3 | 相里要:T2@2鸣=27.2 | 维里奈:T1@1鸣=56.0 | 西格莉卡:T0@0鸣=111.0 | 尤诺:T0.5@0鸣=79.0 | 椿:T1@0鸣=40.0 | 吟霖:T2@0鸣=7.0 | 卜灵:T2@0鸣=5.0,相位涟漪:standard->常驻@1鸣=20.0 | 万物持存的注释:signature->尤诺@1鸣=50.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
60,35916667,108,52,20,11.07,441.60,133.00,585.67,5.423,6,14,散华:T2@5鸣=32.2 | 绯雪:T0@1鸣=155.4 | 维里奈:T1@1鸣=56.0 | 达妮娅:T0.5@0鸣=85.0 | 守岸人:T0@0鸣=108.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@5鸣=43.0 | 灼霜:signature->绯雪@1鸣=60.0 | 玻色星仪:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
61,34009013,140,79,33,7.27,545.80,203.00,756.07,5.400,6,13,散华:T2@3鸣=27.3 | 千咲:T0.5@2鸣=153.0 | 珂莱塔:T1@2鸣=93.5 | 莫宁:T0.5@0鸣=75.0 | 卡提希娅:T0.5@0鸣=89.0 | 守岸人:T0@0鸣=108.0,血誓盟约:standard->常驻@5鸣=43.0 | 镭射切变:standard->常驻@1鸣=20.0 | 昙切:signature->千咲@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 千古洑流:signature->今汐@1鸣=10.0
62,35908018,150,72,22,77.10,505.00,223.00,805.10,5.367,6,12,爱弥斯:T0@1鸣=155.4 | 散华:T2@1鸣=19.6 | 绯雪:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 卡提希娅:T0.5@0鸣=89.0 | 维里奈:T1@0鸣=40.0,血誓盟约:standard->常驻@5鸣=43.0 | 灼霜:signature->绯雪@1鸣=60.0 | 永远的启明星:signature->爱弥斯@1鸣=60.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 千古洑流:signature->今汐@1鸣=10.0
63,35816370,157,80,35,6.10,603.70,230.00,839.80,5.349,9,4,布兰特:T1@3鸣=89.7 | 维里奈:T1@3鸣=78.0 | 露帕:T0.5@0鸣=70.0 | 卡提希娅:T0.5@0鸣=89.0 | 夏空:T1@0鸣=55.0 | 坎特蕾拉:T1@0鸣=55.0 | 菲比:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 忌炎:T2@0鸣=19.0,焰痕:signature->露帕@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 海的呢喃:signature->坎特蕾拉@1鸣=30.0 | 不灭航路:signature->布兰特@1鸣=30.0 | 苍鳞千嶂:signature->忌炎@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
64,35914503,126,61,18,0.28,454.00,210.00,664.27,5.272,6,3,琳奈:T0@0鸣=111.0 | 弗洛洛:T0.5@0鸣=99.0 | 卡提希娅:T0.5@0鸣=89.0 | 椿:T1@0鸣=40.0 | 守岸人:T0@0鸣=108.0 | 吟霖:T2@0鸣=7.0,溢彩荧辉:signature->琳奈@1鸣=60.0 | 万物持存的注释:signature->尤诺@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 漪澜浮录:standard->常驻@1鸣=20.0
65,29859407,50,45,13,0.00,192.40,70.00,262.40,5.248,5,13,散华:T2@2鸣=23.8 | 忌炎:T2@1鸣=26.6 | 维里奈:T1@1鸣=56.0 | 露帕:T0.5@0鸣=70.0 | 相里要:T2@0鸣=16.0,焰痕:signature->露帕@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0
66,35908973,158,60,24,0.00,561.80,263.00,824.80,5.220,7,11,散华:T2@2鸣=23.8 | 达妮娅:T0.5@0鸣=85.0 | 爱弥斯:T0@0鸣=111.0 | 千咲:T0.5@0鸣=90.0 | 卡提希娅:T0.5@0鸣=89.0 | 夏空:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0,血誓盟约:standard->常驻@5鸣=43.0 | 相位涟漪:standard->常驻@1鸣=20.0 | 玻色星仪:standard->常驻@1鸣=20.0 | 镭射切变:standard->常驻@1鸣=20.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 林间的咏叹调:signature->坎特蕾拉@1鸣=30.0 | 星序协响:signature->守岸人@1鸣=60.0 | 擎渊怒涛:standard->常驻@1鸣=20.0
67,35338340,140,62,23,0.09,564.30,163.00,727.39,5.196,7,13,散华:T2@4鸣=30.1 | 绯雪:T0@3鸣=216.45 | 卜灵:T2@3鸣=9.75 | 维里奈:T1@1鸣=56.0 | 仇远:T1@0鸣=55.0 | 卡提希娅:T0.5@0鸣=89.0 | 守岸人:T0@0鸣=108.0,血誓盟约:standard->常驻@5鸣=43.0 | 灼霜:signature->绯雪@1鸣=60.0 | 相位涟漪:standard->常驻@1鸣=20.0 | 裁竹:signature->仇远@1鸣=30.0 | 千古洑流:signature->今汐@1鸣=10.0
68,35635011,120,59,16,0.49,458.70,160.00,619.19,5.160,9,11,散华:T2@5鸣=32.2 | 珂莱塔:T1@2鸣=93.5 | 仇远:T1@0鸣=55.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 卡提希娅:T0.5@0鸣=89.0 | 夏空:T1@0鸣=55.0 | 折枝:T2@0鸣=19.0 | 维里奈:T1@0鸣=40.0 | 卜灵:T2@0鸣=5.0,光影双生:signature->嘉贝莉娜@1鸣=50.0 | 不屈命定之冠:signature->卡提希娅@1鸣=50.0 | 死与舞:signature->珂莱塔@1鸣=30.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
69,35628881,150,65,14,0.74,572.95,200.00,773.69,5.158,7,12,散华:T2@6鸣=33.6 | 卜灵:T2@4鸣=10.75 | 弗洛洛:T0.5@1鸣=138.6 | 绯雪:T0@0鸣=111.0 | 爱弥斯:T0@0鸣=111.0 | 尤诺:T0.5@0鸣=79.0 | 卡提希娅:T0.5@0鸣=89.0,灼霜:signature->绯雪@1鸣=60.0 | 永远的启明星:signature->爱弥斯@1鸣=60.0 | 幽冥的忘忧章:signature->弗洛洛@1鸣=50.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
70,35174147,136,56,23,5.84,522.10,173.00,700.94,5.154,6,14,千咲:T0.5@5鸣=207.0 | 散华:T2@4鸣=30.1 | 维里奈:T1@1鸣=56.0 | 卜灵:T2@1鸣=7.0 | 爱弥斯:T0@0鸣=111.0 | 琳奈:T0@0鸣=111.0,血誓盟约:standard->常驻@5鸣=43.0 | 永远的启明星:signature->爱弥斯@1鸣=60.0 | 昙切:signature->千咲@1鸣=50.0 | 千古洑流:signature->今汐@1鸣=10.0 | 千古洑流:signature->今汐@1鸣=10.0
71,34807219,110,55,14,11.34,327.60,224.00,562.94,5.118,5,13,散华:T2@6鸣=33.6 | 西格莉卡:T0@0鸣=111.0 | 嘉贝莉娜:T0.5@0鸣=70.0 | 守岸人:T0@0鸣=108.0 | 卜灵:T2@0鸣=5.0,血誓盟约:standard->常驻@3鸣=34.0 | 昭日译注:signature->西格莉卡@1鸣=60.0 | 镭射切变:standard->常驻@1鸣=20.0 | 光影双生:signature->嘉贝莉娜@1鸣=50.0 | 星序协响:signature->守岸人@1鸣=60.0
72,35934753,126,62,27,3.62,439.40,200.00,643.02,5.103,9,3,相里要:T2@1鸣=22.4 | 尤诺:T0.5@0鸣=79.0 | 弗洛洛:T0.5@0鸣=99.0 | 夏空:T1@0鸣=55.0 | 守岸人:T0@0鸣=108.0 | 折枝:T2@0鸣=19.0 | 今汐:T2@0鸣=10.0 | 吟霖:T2@0鸣=7.0 | 维里奈:T1@0鸣=40.0,万物持存的注释:signature->尤诺@1鸣=50.0 | 诸方玄枢:signature->相里要@1鸣=10.0 | 时和岁稔:standard->常驻@1鸣=20.0 | 掣傀之手:signature->吟霖@1鸣=10.0 | 血誓盟约:standard->常驻@1鸣=20.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0 | 停驻之烟:standard->常驻@1鸣=20.0 | 擎渊怒涛:standard->常驻@1鸣=20.0 | 漪澜浮录:standard->常驻@1鸣=20.0
73,31380584,90,64,17,0.64,329.30,128.00,457.94,5.088,7,12,散华:T2@5鸣=32.2 | 卜灵:T2@2鸣=8.5 | 千咲:T0.5@1鸣=126.0 | 忌炎:T2@1鸣=26.6 | 维里奈:T1@1鸣=56.0 | 菲比:T1@0鸣=40.0 | 椿:T1@0鸣=40.0,血誓盟约:standard->常驻@2鸣=28.0 | 源能机锋:standard->常驻@1鸣=20.0 | 昙切:signature->千咲@1鸣=50.0 | 浩境粼光:standard->常驻@1鸣=20.0 | 千古洑流:signature->今汐@1鸣=10.0
