rank,product_id,price,area_name,level,total_yellow,char5,weapon5,star_voice,fj_waves,zc_waves,hs_waves,wave_pulls,pulls_total,equiv_pulls_total,equiv_pulls_per_rmb,role_resonance,weapon_resonance,sub_title
35,35586356,85,官服,64,18,8,6,158,11,7,2,20,20.99,1050.99,12.365,6鸣x5 4鸣x3 3鸣x1 2鸣x3 1鸣x1 0鸣x6,1鸣x6,联觉等级:64 总黄数:18 五星角色数:8 五星武器数:6 2鸣鉴心，2鸣维里奈，0鸣琳奈，0鸣千咲，0鸣卡提希娅，0鸣夏空，0鸣赞妮，0鸣凌阳 6鸣桃祈，6鸣渊武，6鸣秋水，6鸣白芷，6鸣秧秧，4鸣灯灯，4鸣釉瑚，4鸣丹瑾，3鸣炽霞，2鸣散华，1鸣莫特斐 1鸣溢彩荧辉，1鸣昙切，1鸣不屈命定之冠，1鸣血誓盟约，1鸣停驻之烟，1鸣擎渊怒涛
36,34532026,120,官服,80,27,12,8,0,0,0,0,0,0.00,1480.00,12.333,1鸣x5 0鸣x7,2鸣x1 1鸣x7,80级/27黄/女主/12个五星角色/9个五星武器/未绑定/椿/忌炎/卡卡罗/维里奈/鉴心/珂莱塔/菲比/长离/相里要/折枝/吟霖/安可/苍鳞千嶂/和光回唱/琼枝冰绡/诸方玄枢/死与舞/裁春/千古洑流/停驻之烟/1鸣椿/1鸣忌炎/1鸣卡卡罗/1鸣维里奈/1鸣鉴心/0鸣珂莱塔/0鸣菲比/0鸣长离/0鸣相里要/0鸣折枝/0鸣吟霖/0鸣安可/2鸣苍鳞千嶂/1鸣和光回唱/1鸣琼枝冰绡/1鸣诸方玄枢/1鸣死与舞/1鸣裁春/1鸣千古洑流/1鸣停驻之烟
37,35872022,105,官服,62,17,11,6,213,0,0,15,15,16.33,1286.33,12.251,0鸣x11,1鸣x6,"62级/17黄/男主/11个五星角色/6个五星武器
未绑定,卡提希娅,坎特蕾拉,椿,珂莱塔,吟霖,折枝,忌炎,维里奈,卡卡罗,鉴心,安可,血誓盟约,裁春,掣傀之手,苍鳞千嶂,千古洑流,停驻之烟,0命卡提希娅,0命坎特蕾拉,0命椿,0命珂莱塔,0命吟霖,0命折枝,0命忌炎,0命维里奈,0命卡卡罗,0命鉴心,0命安可,精1血誓盟约,精1裁春,精1掣傀之手,精1苍鳞千嶂,精1千古洑流,精1停驻之烟"
38,35814988,105,官服,80,22,10,7,128,0,0,0,0,0.80,1255.80,11.960,3鸣x1 1鸣x2 0鸣x7,1鸣x7,"80级/22黄/男主/10个五星角色/7个五星武器
未绑定,卡提希娅,椿,今汐,珂莱塔,相里要,忌炎,维里奈,卡卡罗,安可,凌阳,不屈命定之冠,血誓盟约,裁春,时和岁稔,浩境粼光,千古洑流,停驻之烟,3命安可,1命今汐,1命卡卡罗,0命卡提希娅,0命椿,0命珂莱塔,0命相里要,0命忌炎,0命维里奈,0命凌阳,精1不屈命定之冠,精1血誓盟约,精1裁春,精1时和岁稔,精1浩境粼光,精1千古洑流,精1停驻之烟"
39,35945317,144,官服,71,33,14,9,153,3,7,0,10,10.96,1715.96,11.916,2鸣x1 1鸣x6 0鸣x7,3鸣x1 1鸣x8,"71级/33黄/男主/14个五星角色/9个五星武器
未绑定,赞妮,卡提希娅,奥古斯塔,仇远,千咲,琳奈,菲比,坎特蕾拉,今汐,珂莱塔,维里奈,卡卡罗,安可,凌阳,相位涟漪,昙切,裁竹,海的呢喃,血誓盟约,星序协响,苍鳞千嶂,千古洑流,擎渊怒涛,2命维里奈,1命赞妮,1命卡提希娅,1命坎特蕾拉,1命卡卡罗,1命安可,1命凌阳,0命奥古斯塔,0命仇远,0命千咲,0命琳奈,0命菲比,0命今汐,0命珂莱塔,精3血誓盟约,精1相位涟漪,精1昙切,精1裁竹,精1海的呢喃,精1星序协响,精1苍鳞千嶂,精1千古洑流,精1擎渊怒涛"
40,35799490,147,官服,80,32,15,8,476,0,7,8,15,17.98,1737.97,11.823,2鸣x1 1鸣x5 0鸣x9,3鸣x1 1鸣x7,"80级/32黄/男主/15个五星角色/8个五星武器
未绑定,夏空,卡提希娅,弗洛洛,奥古斯塔,椿,今汐,守岸人,相里要,吟霖,折枝,维里奈,卡卡罗,鉴心,安可,凌阳,不屈命定之冠,血誓盟约,时和岁稔,掣傀之手,浩境粼光,千古洑流,停驻之烟,漪澜浮录,2命卡提希娅,1命守岸人,1命维里奈,1命卡卡罗,1命鉴心,1命凌阳,0命夏空,0命弗洛洛,0命奥古斯塔,0命椿,0命今汐,0命相里要,0命吟霖,0命折枝,0命安可,精3血誓盟约,精1不屈命定之冠,精1时和岁稔,精1掣傀之手,精1浩境粼光,精1千古洑流,精1停驻之烟,精1漪澜浮录"
41,32974204,70,官服,53,13,7,4,20,0,0,0,0,0.12,820.12,11.716,6鸣x3 5鸣x1 4鸣x1 3鸣x3 2鸣x3 1鸣x1 0鸣x7,1鸣x4,联觉等级:53 总黄数:13 五星角色数:7 五星武器数:4 2鸣卡卡罗，0鸣西格莉卡，0鸣嘉贝莉娜，0鸣今汐，0鸣忌炎，0鸣鉴心，0鸣维里奈 6鸣丹瑾，6鸣散华，6鸣秧秧，5鸣灯灯，4鸣莫特斐，3鸣卜灵，3鸣桃祈，3鸣渊武，2鸣炽霞，2鸣白芷，1鸣釉瑚，0鸣秋水 1鸣昭日译注，1鸣源能机锋，1鸣光影双生，1鸣血誓盟约
42,35817757,136,官服,80,34,14,7,178,0,7,1,8,9.11,1584.11,11.648,2鸣x4 1鸣x3 0鸣x7,3鸣x1 1鸣x6,"80级/34黄/女主/14个五星角色/7个五星武器
未绑定,赞妮,卡提希娅,菲比,椿,今汐,珂莱塔,长离,相里要,折枝,忌炎,维里奈,卡卡罗,鉴心,凌阳,血誓盟约,死与舞,诸方玄枢,时和岁稔,苍鳞千嶂,千古洑流,2命相里要,2命忌炎,2命卡卡罗,2命凌阳,1命菲比,1命维里奈,1命鉴心,0命赞妮,0命卡提希娅,0命椿,0命今汐,0命珂莱塔,0命长离,0命折枝,精3千古洑流,精1血誓盟约,精1死与舞,精1诸方玄枢,精1时和岁稔,精1苍鳞千嶂,精1千古洑流"
43,35112357,150,官服,80,30,13,10,921,2,7,8,17,22.76,1712.76,11.418,6鸣x9 5鸣x1 4鸣x1 2鸣x2 1鸣x4 0鸣x8,2鸣x1 1鸣x9,联觉等级:80 总黄数:30 五星角色数:13 五星武器数:10 2鸣维里奈，1鸣千咲，1鸣鉴心，1鸣安可，1鸣凌阳，0鸣绯雪，0鸣琳奈，0鸣尤诺，0鸣卡提希娅，0鸣赞妮，0鸣坎特蕾拉，0鸣菲比，0鸣守岸人 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，5鸣丹瑾，4鸣灯灯，2鸣卜灵 2鸣血誓盟约，1鸣灼霜，1鸣昙切，1鸣不屈命定之冠，1鸣焰光裁定，1鸣海的呢喃，1鸣千古洑流，1鸣停驻之烟，1鸣擎渊怒涛，1鸣漪澜浮录 卖家说:地图还有好多资源没有肝，周年庆活动也没有肝。还可以再凑出一个大保底。
44,35818411,157,官服,75,32,15,9,130,0,0,2,2,2.81,1787.81,11.387,2鸣x1 1鸣x4 0鸣x10,2鸣x1 1鸣x8,"75级/32黄/男主/15个五星角色/10个五星武器
未绑定,爱弥斯,奥古斯塔,嘉贝莉娜,菲比,椿,今汐,珂莱塔,长离,洛可可,相里要,折枝,维里奈,鉴心,安可,凌阳,驭冕铸雷之权,血誓盟约,死与舞,裁春,诸方玄枢,时和岁稔,浩境粼光,千古洑流,漪澜浮录,2命维里奈,1命今汐,1命鉴心,1命安可,1命凌阳,0命爱弥斯,0命奥古斯塔,0命嘉贝莉娜,0命菲比,0命椿,0命珂莱塔,0命长离,0命洛可可,0命相里要,0命折枝,精2千古洑流,精1驭冕铸雷之权,精1血誓盟约,精1死与舞,精1裁春,精1诸方玄枢,精1时和岁稔,精1浩境粼光,精1漪澜浮录"
45,35936781,100,官服,66,20,10,5,449,3,0,7,10,12.81,1137.81,11.378,6鸣x4 4鸣x1 3鸣x2 2鸣x2 1鸣x4 0鸣x8,1鸣x5,联觉等级:66 总黄数:20 五星角色数:10 五星武器数:5 2鸣弗洛洛，1鸣鉴心，1鸣安可，1鸣维里奈，0鸣达妮娅，0鸣嘉贝莉娜，0鸣尤诺，0鸣坎特蕾拉，0鸣卡卡罗，0鸣凌阳 6鸣灯灯，6鸣桃祈，6鸣渊武，6鸣秧秧，4鸣炽霞，3鸣釉瑚，3鸣莫特斐，2鸣秋水，1鸣白芷，0鸣卜灵，0鸣散华 1鸣万物持存的注释，1鸣幽冥的忘忧章，1鸣血誓盟约，1鸣千古洑流，1鸣漪澜浮录 卖家说:2链毕业弗洛洛2+1，达妮娅，湮灭队
46,33398915,100,官服,53,17,9,6,1043,3,0,10,13,19.52,1129.52,11.295,6鸣x3 5鸣x3 4鸣x4 3鸣x1 1鸣x2 0鸣x7,1鸣x6,联觉等级:53 总黄数:17 五星角色数:9 五星武器数:6 1鸣鉴心，1鸣维里奈，0鸣尤诺，0鸣奥古斯塔，0鸣赞妮，0鸣坎特蕾拉，0鸣菲比，0鸣卡卡罗，0鸣安可 6鸣桃祈，6鸣渊武，6鸣莫特斐，5鸣秋水，5鸣散华，5鸣白芷，4鸣灯灯，4鸣丹瑾，4鸣炽霞，4鸣秧秧，3鸣釉瑚 1鸣焰光裁定，1鸣星序协响，1鸣掣傀之手，1鸣苍鳞千嶂，1鸣血誓盟约，1鸣千古洑流
47,35622973,110,官服,63,22,12,4,584,0,0,0,0,3.65,1223.65,11.124,6鸣x8 5鸣x1 4鸣x1 3鸣x1 2鸣x1 1鸣x4 0鸣x8,2鸣x1 1鸣x3,联觉等级:63 总黄数:22 五星角色数:12 五星武器数:4 2鸣安可，1鸣鉴心，1鸣卡卡罗，1鸣凌阳，0鸣达妮娅，0鸣绯雪，0鸣西格莉卡，0鸣琳奈，0鸣嘉贝莉娜，0鸣弗洛洛，0鸣卡提希娅，0鸣坎特蕾拉 6鸣卜灵，6鸣桃祈，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，5鸣渊武，4鸣莫特斐，3鸣釉瑚，1鸣灯灯 2鸣血誓盟约，1鸣赝作的矮星，1鸣停驻之烟，1鸣漪澜浮录 卖家说:实名非本人可签包赔协议
48,35698165,100,官服,64,18,9,6,24,0,0,0,0,0.15,1110.15,11.102,6鸣x3 4鸣x2 3鸣x3 2鸣x1 1鸣x3 0鸣x9,3鸣x1 1鸣x5,联觉等级:64 总黄数:18 五星角色数:9 五星武器数:6 1鸣卡卡罗，0鸣绯雪，0鸣琳奈，0鸣千咲，0鸣尤诺，0鸣守岸人，0鸣安可，0鸣维里奈，0鸣凌阳 6鸣桃祈，6鸣秋水，6鸣白芷，4鸣丹瑾，4鸣散华，3鸣渊武，3鸣炽霞，3鸣秧秧，2鸣莫特斐，1鸣卜灵，1鸣釉瑚，0鸣灯灯 3鸣血誓盟约，1鸣灼霜，1鸣相位涟漪，1鸣昙切，1鸣万物持存的注释，1鸣星序协响 卖家说:退坑了，不想玩了，有看上的来
49,29055204,110,官服,72,21,12,4,0,0,0,0,0,0.00,1220.00,11.091,6鸣x5 5鸣x3 4鸣x1 3鸣x1 1鸣x3 0鸣x10,1鸣x4,联觉等级:72 总黄数:21 星声数量:981 浮金波纹数量:0 铸潮波纹数量:0 唤声涡纹数量:9 五星角色数:12 3鸣鉴心，1鸣卡卡罗，1鸣维里奈，0鸣卡提希娅，0鸣椿，0鸣守岸人，0鸣相里要，0鸣长离，0鸣吟霖，0鸣忌炎，0鸣安可，0鸣凌阳 6鸣桃祈，6鸣莫特斐，6鸣丹瑾，6鸣白芷，6鸣秧秧，5鸣渊武，5鸣秋水，5鸣散华，4鸣炽霞，1鸣釉瑚，0鸣灯灯 五星武器数:4 1鸣裁春，1鸣赫奕流明，1鸣血誓盟约，1鸣漪澜浮录
50,35923649,140,官服,72,32,12,9,216,0,0,0,0,1.35,1546.35,11.045,6鸣x10 4鸣x1 2鸣x2 1鸣x3 0鸣x8,5鸣x1 2鸣x1 1鸣x7,鸣潮21绯雪01卡提希娅菲比赞妮忌炎单莫宁尤诺今汐    大保底垫13抽  武器垫28抽 有双倍   有TAP绑定  M04的 57
51,8107436,120,官服,71,20,10,8,0,0,0,0,0,0.00,1320.00,11.000,1鸣x2 0鸣x8,1鸣x8,"71级/20黄/女主/10个五星角色/8个五星武器
未绑定,长离,今汐,吟霖,忌炎,维里奈,鉴心,安可,相里要,椿,折枝,赫奕流明,时和岁稔,掣傀之手,苍鳞千嶂,千古洑流,漪澜浮录,裁春,诸方玄枢,1命维里奈,1命安可,0命长离,0命今汐,0命吟霖,0命忌炎,0命鉴心,0命相里要,0命椿,0命折枝,精1赫奕流明,精1时和岁稔,精1掣傀之手,精1苍鳞千嶂,精1千古洑流,精1漪澜浮录,精1裁春,精1诸方玄枢"
52,34531864,120,官服,71,20,10,8,0,0,0,0,0,0.00,1320.00,11.000,1鸣x2 0鸣x8,1鸣x8,71级/20黄/女主/10个五星角色/8个五星武器/未绑定/维里奈/安可/今汐/长离/椿/相里要/忌炎/吟霖/折枝/鉴心/赫奕流明/千古洑流/时和岁稔/掣傀之手/裁春/苍鳞千嶂/漪澜浮录/诸方玄枢/1鸣维里奈/1鸣安可/0鸣今汐/0鸣长离/0鸣椿/0鸣相里要/0鸣忌炎/0鸣吟霖/0鸣折枝/0鸣鉴心/1鸣赫奕流明/1鸣千古洑流/1鸣时和岁稔/1鸣掣傀之手/1鸣裁春/1鸣苍鳞千嶂/1鸣漪澜浮录/1鸣诸方玄枢
53,33718762,100,官服,64,23,8,7,139,2,0,2,4,4.87,1099.87,10.999,6鸣x4 5鸣x2 4鸣x2 2鸣x1 1鸣x1 0鸣x9,2鸣x1 1鸣x6,联觉等级:64 总黄数:23 0鸣尤诺，0鸣赞妮，0鸣菲比，0鸣珂莱塔，0鸣守岸人，0鸣鉴心，0鸣安可，0鸣凌阳 6鸣灯灯，6鸣桃祈，6鸣渊武，6鸣秧秧，5鸣散华，5鸣白芷，4鸣釉瑚，4鸣炽霞，2鸣莫特斐，1鸣秋水，0鸣丹瑾 2鸣焰光裁定，1鸣和光回唱，1鸣血誓盟约，1鸣千古洑流，1鸣停驻之烟
54,35854032,157,官服,80,32,15,8,89,0,0,0,0,0.56,1720.56,10.959,3鸣x1 2鸣x1 1鸣x1 0鸣x12,3鸣x1 2鸣x1 1鸣x6,"80级/32黄/男主/15个五星角色/8个五星武器
未绑定,达妮娅,卡提希娅,弗洛洛,尤诺,莫宁,菲比,椿,今汐,折枝,忌炎,维里奈,卡卡罗,鉴心,安可,凌阳,幽冥的忘忧章,不屈命定之冠,血誓盟约,和光回唱,时和岁稔,浩境粼光,千古洑流,漪澜浮录,3命维里奈,2命安可,1命菲比,0命达妮娅,0命卡提希娅,0命弗洛洛,0命尤诺,0命莫宁,0命椿,0命今汐,0命折枝,0命忌炎,0命卡卡罗,0命鉴心,0命凌阳,精3血誓盟约,精2浩境粼光,精1幽冥的忘忧章,精1不屈命定之冠,精1和光回唱,精1时和岁稔,精1千古洑流,精1漪澜浮录"
55,34994160,130,官服,61,25,12,7,212,0,0,2,2,3.33,1418.33,10.910,6鸣x8 5鸣x1 2鸣x3 1鸣x3 0鸣x8,1鸣x7,联觉等级:61 总黄数:25 五星角色数:12 五星武器数:7 2鸣卡卡罗，2鸣安可，1鸣维里奈，1鸣凌阳，0鸣千咲，0鸣弗洛洛，0鸣卡提希娅，0鸣赞妮，0鸣椿，0鸣守岸人，0鸣长离，0鸣今汐 6鸣灯灯，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，5鸣秧秧，2鸣釉瑚，1鸣桃祈 1鸣幽冥的忘忧章，1鸣不屈命定之冠，1鸣星序协响，1鸣血誓盟约，1鸣浩境粼光，1鸣千古洑流 卖家说:诚心出，急需钱
56,30305172,99,官服,56,19,7,8,0,0,0,0,0,0.00,1080.00,10.909,6鸣x4 5鸣x3 4鸣x1 2鸣x1 1鸣x3 0鸣x6,1鸣x8,联觉等级:56 总黄数:19 星声数量:151 浮金波纹数量:0 铸潮波纹数量:3 唤声涡纹数量:1 五星角色数:7 2鸣鉴心，1鸣仇远，1鸣卡卡罗，0鸣珂莱塔，0鸣相里要，0鸣今汐，0鸣维里奈 6鸣桃祈，6鸣渊武，6鸣炽霞，6鸣秧秧，5鸣秋水，5鸣散华，5鸣白芷，4鸣丹瑾，1鸣莫特斐，0鸣灯灯，0鸣釉瑚 五星武器数:8 1鸣溢彩荧辉，1鸣裁竹，1鸣诸方玄枢，1鸣时和岁稔，1鸣血誓盟约，1鸣浩境粼光，1鸣千古洑流，1鸣擎渊怒涛
57,35257796,130,官服,75,30,11,8,207,0,0,0,0,1.29,1401.29,10.779,6鸣x7 4鸣x2 3鸣x2 2鸣x2 1鸣x5 0鸣x5,5鸣x1 1鸣x7,联觉等级:75 总黄数:30 五星角色数:11 五星武器数:8 2鸣仇远，1鸣嘉贝莉娜，1鸣卡卡罗，1鸣安可，1鸣维里奈，1鸣凌阳，0鸣绯雪，0鸣西格莉卡，0鸣千咲，0鸣卡提希娅，0鸣椿 6鸣桃祈，6鸣渊武，6鸣丹瑾，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，4鸣釉瑚，4鸣秋水，3鸣灯灯，3鸣莫特斐，2鸣卜灵 5鸣血誓盟约，1鸣裁竹，1鸣光影双生，1鸣不屈命定之冠，1鸣裁春，1鸣千古洑流，1鸣停驻之烟
58,34905083,152,官服,80,33,13,7,9828,78,4,0,82,143.43,1638.42,10.779,6鸣x11 5鸣x1 2鸣x2 1鸣x2 0鸣x8,2鸣x1 1鸣x6,联觉等级:80 总黄数:33 五星角色数:13 五星武器数:7 6鸣鉴心，2鸣珂莱塔，2鸣维里奈，1鸣菲比，1鸣安可，0鸣千咲，0鸣卡提希娅，0鸣赞妮，0鸣洛可可，0鸣椿，0鸣长离，0鸣今汐，0鸣卡卡罗 6鸣灯灯，6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，5鸣釉瑚 2鸣血誓盟约，1鸣万物持存的注释，1鸣死与舞，1鸣星序协响，1鸣苍鳞千嶂，1鸣千古洑流，1鸣漪澜浮录 卖家说:六命鉴心，今夕皮肤，池子垫了60多抽。歪了也可以出五星角色加专武，有星声，球子，平台验号，可以讲价
59,33761640,90,哔哩哔哩,68,22,8,5,205,0,0,0,0,1.28,966.28,10.736,6鸣x7 5鸣x1 2鸣x3 1鸣x2 0鸣x7,1鸣x5,联觉等级:68 总黄数:22 1鸣长离，1鸣维里奈，0鸣卡提希娅，0鸣坎特蕾拉，0鸣守岸人，0鸣鉴心，0鸣卡卡罗，0鸣安可 6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣白芷，6鸣秧秧，5鸣桃祈，2鸣卜灵，2鸣灯灯，2鸣炽霞，0鸣釉瑚 1鸣掣傀之手，1鸣血誓盟约，1鸣千古洑流
60,34965102,150,官服,76,29,12,10,71,0,0,0,0,0.44,1610.44,10.736,6鸣x8 5鸣x2 4鸣x1 3鸣x1 2鸣x2 1鸣x3 0鸣x7,1鸣x10,联觉等级:76 总黄数:29 五星角色数:12 五星武器数:10 2鸣维里奈，2鸣凌阳，1鸣相里要，1鸣折枝，1鸣卡卡罗，0鸣爱弥斯，0鸣弗洛洛，0鸣赞妮，0鸣坎特蕾拉，0鸣菲比，0鸣今汐，0鸣鉴心 6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣炽霞，6鸣白芷，5鸣釉瑚，5鸣秧秧，4鸣灯灯，3鸣卜灵 1鸣幽冥的忘忧章，1鸣焰光裁定，1鸣和光回唱，1鸣琼枝冰绡，1鸣血誓盟约，1鸣浩境粼光，1鸣千古洑流，1鸣擎渊怒涛，1鸣漪澜浮录 卖家说:两个光队，一个暗队，基本都有专武
61,31380584,90,官服,64,17,8,5,102,0,0,0,0,0.64,965.64,10.729,6鸣x5 5鸣x2 3鸣x2 2鸣x1 1鸣x4 0鸣x5,2鸣x1 1鸣x4,联觉等级:64 总黄数:17 五星角色数:8 五星武器数:5 1鸣千咲，1鸣忌炎，1鸣维里奈，0鸣菲比，0鸣椿，0鸣鉴心，0鸣安可，0鸣凌阳 6鸣桃祈，6鸣莫特斐，6鸣炽霞，6鸣白芷，6鸣秧秧，5鸣渊武，5鸣散华，3鸣釉瑚，3鸣丹瑾，2鸣卜灵，1鸣秋水 2鸣血誓盟约，1鸣源能机锋，1鸣昙切，1鸣浩境粼光，1鸣千古洑流 卖家说:开服没多久玩的，抽了两个角色就退了，千咲菲比池子回游的
62,28748185,90,官服,55,13,8,5,0,0,0,0,0,0.00,965.00,10.722,6鸣x4 4鸣x1 3鸣x1 1鸣x1 0鸣x10,1鸣x5,联觉等级:55 总黄数:13 星声数量:152 浮金波纹数量:0 铸潮波纹数量:0 唤声涡纹数量:0 五星角色数:8 0鸣守岸人，0鸣相里要，0鸣折枝，0鸣长离，0鸣今汐，0鸣卡卡罗，0鸣安可，0鸣维里奈 6鸣桃祈，6鸣丹瑾，6鸣散华，6鸣炽霞，4鸣白芷，3鸣秧秧，1鸣莫特斐，0鸣渊武，0鸣秋水 五星武器数:5 1鸣星序协响，1鸣时和岁稔，1鸣千古洑流，1鸣停驻之烟
63,35182308,158,官服,78,29,12,11,846,0,10,0,10,15.29,1690.29,10.698,2鸣x1 1鸣x2 0鸣x9,3鸣x1 1鸣x10,"男/女主: 男主 总黄数: 29 联觉等级: 78 星声数量: 846 铸潮波纹数量: 10 拥有五星共鸣者: 卡卡罗,安可,维里奈,凌阳,今汐,长离,菲比,卡提希娅,嘉贝莉娜,琳奈,莫宁,绯雪 2鸣五星共鸣者: 2鸣安可 1鸣五星共鸣者: 1鸣维里奈,1鸣凌阳 0鸣五星共鸣者: 0鸣卡卡罗,0鸣今汐,0鸣长离,0鸣菲比,0鸣卡提希娅,0鸣嘉贝莉娜,0鸣琳奈,0鸣莫宁,0鸣绯雪 拥有五星武器: 浩境粼光,千古洑流,停驻之烟,时和岁稔,赫奕流明,和光回唱,血誓盟约,不屈命定之冠,光影双生,相位涟漪,灼霜 3鸣五星武器: 3鸣血誓盟约 1鸣五星武器: 1鸣浩境粼光,1鸣千古洑流,1鸣停驻之烟,1鸣时和岁稔,1鸣赫奕流明,1鸣和光回唱,1鸣不屈命定之冠,1鸣光影双生,1鸣相位涟漪,1鸣灼霜 亮点: 【MC275】78级/29黄/男主/12个五星角色/11个五星武器/未绑定/安可/维里奈/凌阳/卡提希娅/绯雪/莫宁/琳奈/嘉贝莉娜/菲比/长离/今汐/卡卡罗/血誓盟约/相位涟漪/光影双生/灼霜/不屈命定之冠/赫奕流明/千古洑流/时和岁稔/和光回唱/停驻之烟/浩境粼光/2鸣安可/1鸣维里奈/1鸣凌阳/0鸣卡提希娅/0鸣绯雪/0鸣莫宁/0鸣琳奈/0鸣嘉贝莉娜/0鸣菲比/0鸣长离/0鸣今汐/0鸣卡卡罗/3鸣血誓盟约/1鸣相位涟漪/1鸣光影双生/1鸣灼霜/1鸣不屈命定之冠/1鸣赫奕流明/1鸣千..."
64,34709059,130,官服,80,28,11,7,114,0,21,16,37,37.71,1372.71,10.559,6鸣x7 5鸣x2 3鸣x2 2鸣x3 0鸣x9,3鸣x1 1鸣x6,联觉等级:80 总黄数:28 五星角色数:11 五星武器数:7 3鸣卡卡罗，3鸣维里奈，2鸣卡提希娅，0鸣弗洛洛，0鸣椿，0鸣守岸人，0鸣相里要，0鸣长离，0鸣吟霖，0鸣鉴心，0鸣安可 6鸣釉瑚，6鸣桃祈，6鸣渊武，6鸣丹瑾，6鸣秋水，6鸣散华，6鸣白芷，5鸣炽霞，5鸣秧秧，2鸣灯灯，2鸣莫特斐，0鸣卜灵 3鸣血誓盟约，1鸣不屈命定之冠，1鸣裁春，1鸣诸方玄枢，1鸣赫奕流明，1鸣千古洑流，1鸣漪澜浮录 卖家说:大保底，多资源，多毕业主c，三配队，卡提2+1，3命维利奈，椿长离相里要0+1，毕业练度高升级材料充足，待开发星声资源丰富
65,8107380,100,官服,62,18,9,5,0,0,0,0,0,0.00,1045.00,10.450,1鸣x3 0鸣x6,1鸣x5,"62级/18黄/女主/9个五星角色/6个五星武器
未绑定,今汐,吟霖,忌炎,维里奈,卡卡罗,鉴心,安可,凌阳,菲比,时和岁稔,掣傀之手,苍鳞千嶂,千古洑流,和光回唱,1命吟霖,1命卡卡罗,1命安可,0命今汐,0命忌炎,0命维里奈,0命鉴心,0命凌阳,0命菲比,精1时和岁稔,精1掣傀之手,精1苍鳞千嶂,精1千古洑流,精1和光回唱"
66,33360240,60,官服,46,10,7,1,109,0,0,1,1,1.68,626.68,10.445,5鸣x3 4鸣x2 3鸣x2 2鸣x1 1鸣x1 0鸣x8,1鸣x1,联觉等级:46 总黄数:10 五星角色数:7 五星武器数:1 2鸣卡卡罗，0鸣长离，0鸣今汐，0鸣吟霖，0鸣忌炎，0鸣维里奈，0鸣凌阳 5鸣莫特斐，5鸣散华，5鸣炽霞，4鸣渊武，4鸣丹瑾，3鸣白芷，3鸣秧秧，1鸣秋水，0鸣釉瑚，0鸣桃祈 1鸣千古洑流
67,34665047,100,官服,52,19,8,6,51,0,10,1,11,11.32,1041.32,10.413,6鸣x4 5鸣x2 3鸣x2 2鸣x2 1鸣x3 0鸣x7,2鸣x1 1鸣x5,联觉等级:52 总黄数:19 五星角色数:8 五星武器数:6 3鸣维里奈，1鸣鉴心，0鸣爱弥斯，0鸣卡提希娅，0鸣相里要，0鸣折枝，0鸣长离，0鸣卡卡罗 6鸣桃祈，6鸣秋水，6鸣散华，6鸣白芷，5鸣莫特斐，5鸣炽霞，3鸣渊武，2鸣釉瑚，2鸣丹瑾，1鸣灯灯，1鸣秧秧，0鸣卜灵 2鸣血誓盟约，1鸣永远的启明星，1鸣不屈命定之冠，1鸣诸方玄枢，1鸣浩境粼光，1鸣漪澜浮录 卖家说:号上还有一点点材料没有抽
68,33872361,130,官服,71,25,12,6,5,0,0,1,1,1.03,1351.03,10.393,6鸣x8 3鸣x1 2鸣x2 1鸣x3 0鸣x9,1鸣x6,联觉等级:71 总黄数:25 2鸣安可，2鸣维里奈，1鸣卡卡罗，0鸣爱弥斯，0鸣卡提希娅，0鸣坎特蕾拉，0鸣椿，0鸣相里要，0鸣折枝，0鸣今汐，0鸣吟霖，0鸣鉴心 6鸣桃祈，6鸣渊武，6鸣莫特斐，6鸣丹瑾，6鸣散华，6鸣炽霞，6鸣白芷，6鸣秧秧，3鸣秋水，1鸣灯灯，1鸣釉瑚 1鸣不屈命定之冠，1鸣时和岁稔，1鸣掣傀之手，1鸣血誓盟约，1鸣千古洑流
69,35947450,50,官服,46,8,4,3,185,1,0,1,2,3.16,518.16,10.363,6鸣x2 5鸣x1 3鸣x3 2鸣x2 1鸣x1 0鸣x5,1鸣x3,联觉等级:46 总黄数:8 五星角色数:4 五星武器数:3 1鸣维里奈，0鸣椿，0鸣卡卡罗，0鸣凌阳 6鸣渊武，6鸣炽霞，5鸣散华，3鸣莫特斐，3鸣秋水，3鸣白芷，2鸣丹瑾，2鸣秧秧，0鸣灯灯，0鸣桃祈 1鸣裁春，1鸣血誓盟约，1鸣千古洑流
